id,question_code,question_type,prompt,input_type,choices,trait_mapping,display_order,is_active,created_at,metadata
0e17b07b-e38b-4212-960e-a337da329a01,Q6,personality,I often think several moves ahead before acting.,likert,"[""1"",""2"",""3"",""4"",""5""]",,6,true,2025-06-13 08:18:09.797001+00,"{""trait"":""strategic"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
1643ea37-c9ed-4d46-a29a-f1f01e1d4ad6,Q10,personality,I can stay calm when priorities shift unexpectedly.,likert,"[""1"",""2"",""3"",""4"",""5""]",,10,true,2025-06-13 08:18:09.797001+00,"{""trait"":""adaptability"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
1ed73019-5ee5-4c59-b2c0-4143012aca33,Q7,personality,I can map out multiple paths to the same goal.,likert,"[""1"",""2"",""3"",""4"",""5""]",,7,true,2025-06-13 08:18:09.797001+00,"{""trait"":""strategic"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
20fa55d8-df2e-4586-ab01-5664ea27e67d,Q3,personality,I can negotiate for what I want without feeling uneasy.,likert,"[""1"",""2"",""3"",""4"",""5""]",,3,true,2025-06-13 08:18:09.797001+00,"{""trait"":""assertiveness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
2449e86c-5e3a-4ce7-94fb-e0f4af907b56,Q18,personality,"I keep promises, even under tight deadlines.",likert,"[""1"",""2"",""3"",""4"",""5""]",,18,true,2025-06-13 08:18:09.797001+00,"{""trait"":""conscientiousness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
25cc12c4-d7be-4b29-925c-f2b6d06d1e6f,P3,personalization,What's your primary function?,single-select,"[""marketing"",""sales"",""product"",""engineering / IT"",""finance"",""HR / people"",""operations"",""legal / compliance"",""other""]",,3,true,2025-06-12 10:58:35.647937+00,{}
278750ab-884c-4028-a4e6-939b3c1f8366,P1,personalization,Which best describes your current position?,single-select,"[""intern"",""entry-level"",""junior"",""mid-management"",""senior / director"",""C-suite / founder""]",,1,true,2025-06-12 10:58:35.647937+00,{}
2c1d53b3-cc68-4361-a8df-ad88ed12eece,Q9,personality,Sudden changes at work rarely throw me off course.,likert,"[""1"",""2"",""3"",""4"",""5""]",,9,true,2025-06-13 08:18:09.797001+00,"{""trait"":""adaptability"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
306dd940-4a86-4ebc-8614-89690350ba97,Q22,personality,I'm transparent about my intentions with teammates.,likert,"[""1"",""2"",""3"",""4"",""5""]",,22,true,2025-06-13 08:18:09.797001+00,"{""trait"":""integrity"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
39a35019-5ff8-4e44-b26f-cb3ff7ec2e81,Q17,personality,I double-check details to ensure my work is error-free.,likert,"[""1"",""2"",""3"",""4"",""5""]",,17,true,2025-06-13 08:18:09.797001+00,"{""trait"":""conscientiousness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
58e1f8c1-1ace-4504-a307-6a2516d667f5,P5,personalization,How do you prefer your coaching?,single-select,"[""concise & data-driven"",""step-by-step action plans"",""empathetic encouragement"",""tough-love direct feedback""]",,5,true,2025-06-12 10:58:35.647937+00,{}
